nt	maxslice	maxecho	maxview
7808	60	0	64
Core ia_rf ia_th ia_gx ia_gy ia_gz dabslice dabecho dabview dabon phi rfphase recphase 
1	13106	32766	0	0	32766	1	0	1	0	0	0	0	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	0	0	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	21298	21298	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	21298	21298	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-1638	-1638	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-1638	-1638	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-3276	-3276	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-3276	-3276	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	16384	16384	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	16384	16384	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-8192	-8192	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-8192	-8192	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-11468	-11468	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-11468	-11468	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	6554	6554	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	6554	6554	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-19660	-19660	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-19660	-19660	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-24574	-24574	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-24574	-24574	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-8192	-8192	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-8192	-8192	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	29490	29490	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	29490	29490	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	22936	22936	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	22936	22936	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-27852	-27852	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-27852	-27852	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	8192	8192	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	8192	8192	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-0	-0	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-0	-0	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	13106	13106	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	13106	13106	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-18022	-18022	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-18022	-18022	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-27852	-27852	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-27852	-27852	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-16384	-16384	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-16384	-16384	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	16382	16382	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	16382	16382	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	4914	4914	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	4914	4914	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	14744	14744	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	14744	14744	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-19660	-19660	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-19660	-19660	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	32766	32766	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	32766	32766	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-24574	-24574	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-24574	-24574	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	4914	4914	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	4914	4914	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-9830	-9830	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-9830	-9830	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-3276	-3276	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-3276	-3276	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	24574	24574	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	24574	24574	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	8192	8192	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	8192	8192	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	13106	13106	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	13106	13106	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-26212	-26212	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-26212	-26212	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	21298	21298	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	21298	21298	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	24574	24574	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	24574	24574	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-16384	-16384	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-16384	-16384	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	29490	29490	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	29490	29490	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	31128	31128	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	31128	31128	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-11468	-11468	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-11468	-11468	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	32766	32766	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	32766	32766	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	32766	32766	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	32766	32766	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-11468	-11468	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-11468	-11468	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	31128	31128	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	31128	31128	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	29490	29490	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	29490	29490	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-16384	-16384	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-16384	-16384	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	24574	24574	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	24574	24574	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	21298	21298	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	21298	21298	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-26212	-26212	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-26212	-26212	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	13106	13106	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	13106	13106	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	8192	8192	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	8192	8192	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	24574	24574	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	24574	24574	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-3276	-3276	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-3276	-3276	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-9830	-9830	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-9830	-9830	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	4914	4914	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	4914	4914	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-24574	-24574	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-24574	-24574	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	32766	32766	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	32766	32766	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-19660	-19660	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-19660	-19660	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	14744	14744	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	14744	14744	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	4914	4914	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	4914	4914	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	16382	16382	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	16382	16382	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-16384	-16384	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-16384	-16384	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-27852	-27852	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-27852	-27852	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	-18022	-18022	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	-18022	-18022	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	13106	13106	0	0	1
2	0	0	32766	0	0	1	0	1	1	0	13106	13106	0	0	1
1	13106	32766	0	0	32766	1	0	1	0	0	0	0	0	0	1
2	0	0	32766	-32254	-32220	1	0	1	1	0	0	0	0	0	1
1	13106	32766	0	0	32766	1	0	2	0	0	8192	8192	0	0	1
2	0	0	32766	-31230	-32220	1	0	2	1	0	8192	8192	0	0	1
1	13106	32766	0	0	32766	1	0	3	0	0	-27852	-27852	0	0	1
2	0	0	32766	-30206	-32220	1	0	3	1	0	-27852	-27852	0	0	1
1	13106	32766	0	0	32766	1	0	4	0	0	22936	22936	0	0	1
2	0	0	32766	-29182	-32220	1	0	4	1	0	22936	22936	0	0	1
1	13106	32766	0	0	32766	1	0	5	0	0	29490	29490	0	0	1
2	0	0	32766	-28158	-32220	1	0	5	1	0	29490	29490	0	0	1
1	13106	32766	0	0	32766	1	0	6	0	0	-8192	-8192	0	0	1
2	0	0	32766	-27134	-32220	1	0	6	1	0	-8192	-8192	0	0	1
1	13106	32766	0	0	32766	1	0	7	0	0	-24574	-24574	0	0	1
2	0	0	32766	-26110	-32220	1	0	7	1	0	-24574	-24574	0	0	1
1	13106	32766	0	0	32766	1	0	8	0	0	-19660	-19660	0	0	1
2	0	0	32766	-25086	-32220	1	0	8	1	0	-19660	-19660	0	0	1
1	13106	32766	0	0	32766	1	0	9	0	0	6554	6554	0	0	1
2	0	0	32766	-24062	-32220	1	0	9	1	0	6554	6554	0	0	1
1	13106	32766	0	0	32766	1	0	10	0	0	-11468	-11468	0	0	1
2	0	0	32766	-23038	-32220	1	0	10	1	0	-11468	-11468	0	0	1
1	13106	32766	0	0	32766	1	0	11	0	0	-8192	-8192	0	0	1
2	0	0	32766	-22014	-32220	1	0	11	1	0	-8192	-8192	0	0	1
1	13106	32766	0	0	32766	1	0	12	0	0	16384	16384	0	0	1
2	0	0	32766	-20990	-32220	1	0	12	1	0	16384	16384	0	0	1
1	13106	32766	0	0	32766	1	0	13	0	0	-3276	-3276	0	0	1
2	0	0	32766	-19966	-32220	1	0	13	1	0	-3276	-3276	0	0	1
1	13106	32766	0	0	32766	1	0	14	0	0	-1638	-1638	0	0	1
2	0	0	32766	-18942	-32220	1	0	14	1	0	-1638	-1638	0	0	1
1	13106	32766	0	0	32766	1	0	15	0	0	21298	21298	0	0	1
2	0	0	32766	-17918	-32220	1	0	15	1	0	21298	21298	0	0	1
1	13106	32766	0	0	32766	1	0	16	0	0	0	0	0	0	1
2	0	0	32766	-16894	-32220	1	0	16	1	0	0	0	0	0	1
1	13106	32766	0	0	32766	1	0	17	0	0	0	0	0	0	1
2	0	0	32766	-15872	-32220	1	0	17	1	0	0	0	0	0	1
1	13106	32766	0	0	32766	1	0	18	0	0	21298	21298	0	0	1
2	0	0	32766	-14848	-32220	1	0	18	1	0	21298	21298	0	0	1
1	13106	32766	0	0	32766	1	0	19	0	0	-1638	-1638	0	0	1
2	0	0	32766	-13824	-32220	1	0	19	1	0	-1638	-1638	0	0	1
1	13106	32766	0	0	32766	1	0	20	0	0	-3276	-3276	0	0	1
2	0	0	32766	-12800	-32220	1	0	20	1	0	-3276	-3276	0	0	1
1	13106	32766	0	0	32766	1	0	21	0	0	16384	16384	0	0	1
2	0	0	32766	-11776	-32220	1	0	21	1	0	16384	16384	0	0	1
1	13106	32766	0	0	32766	1	0	22	0	0	-8192	-8192	0	0	1
2	0	0	32766	-10752	-32220	1	0	22	1	0	-8192	-8192	0	0	1
1	13106	32766	0	0	32766	1	0	23	0	0	-11468	-11468	0	0	1
2	0	0	32766	-9728	-32220	1	0	23	1	0	-11468	-11468	0	0	1
